"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Pull Up",,"",0,"normal",,7,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Pull Up",,"",1,"normal",,5,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Pull Up",,"",2,"normal",,3,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Pull Up",,"",3,"normal",,5,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Straight Arm Lat Pulldown (Cable)",,"senti o ombro direito // simplesmente uma bosta",0,"normal",45,8,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Straight Arm Lat Pulldown (Cable)",,"senti o ombro direito // simplesmente uma bosta",1,"normal",35,12,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Single Arm Lat Pulldown",,"voltei pra esse, mil vezes melhor",0,"normal",35,12,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Single Arm Lat Pulldown",,"voltei pra esse, mil vezes melhor",1,"normal",35,12,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Single Arm Lat Pulldown",,"voltei pra esse, mil vezes melhor",2,"normal",35,12,,,
"escape the BACKrooms","8 Apr 2026, 16:50","8 Apr 2026, 17:43","melhorando cada vez mais nos pull ups to feliz","Single Arm Lat Pulldown",,"voltei pra esse, mil vezes melhor",3,"normal",35,12,,,
